2,2011,2,4,2,1,2,99856
2,2016,3,4,1,1,2,977011
2,2016,2,4,1,1,2,977011
2,2016,2,4,1,1,1,95546
2,2017,2,4,1,2,2,948275
2,2016,3,4,1,1,2,81178
2,2014,2,4,1,1,2,797413
28,2015,1,5,2,1,2,7248253
2,2016,3,4,2,1,2,60345
2,2014,3,4,1,1,2,574713
26,2016,1,2,1,1,1,53017
2,2014,3,2,1,1,2,431034
12,1992,2,5,2,1,2,4141859
2,2013,1,4,1,1,2,413793
2,2011,3,2,1,1,2,387931
2,2011,2,4,1,1,2,372126
2,2010,2,4,1,1,2,352011
12,2005,2,2,1,1,2,341954
12,2006,2,4,1,1,2,327586
12,2011,1,4,1,1,2,301724
12,2011,1,4,1,1,2,28592
12,2005,2,4,1,1,2,27155
19,2015,2,4,1,1,1,228448
2,2009,1,4,1,1,2,214080
20,2013,1,4,2,1,1,19397
2,2016,2,4,1,2,1,1435344
12,2012,2,5,1,1,2,12908793
2,2018,2,5,1,1,1,145000
1,2020,2,5,1,1,2,128000
12,2021,2,5,2,1,1,125000
14,2016,2,5,1,2,1,99900
16,2015,1,2,1,1,2,92897
18,2019,2,5,1,1,2,85000
17,2020,2,5,1,1,2,79500
15,2014,1,5,1,1,2,78500
15,2014,1,4,1,1,2,78500
15,2014,1,4,1,1,2,78500
2,2017,3,4,1,1,2,75000
2,2017,3,4,1,1,2,75000
12,2015,1,5,2,2,2,74900
12,2015,2,5,1,1,2,74900
17,2018,2,5,1,1,2,73000
15,2011,1,5,2,2,1,72261
18,2021,2,4,1,3,1,70900
13,2016,2,4,1,1,2,69000
13,2016,2,5,1,1,2,69000
19,2020,3,4,1,1,2,67000
19,2020,3,4,1,1,2,67000
8,2015,2,5,1,1,2,66800
8,2015,2,5,1,1,1,66800
2,2016,2,5,1,1,1,66500
17,2020,2,5,1,1,2,65000
2,2018,1,5,1,1,2,65000
17,2020,2,5,1,1,2,65000
8,2015,2,5,1,1,1,63800
9,2019,2,5,1,1,2,62000
18,2021,2,4,1,3,1,60900
2,2021,3,4,1,1,1,60000
2,2021,3,4,2,1,1,60000
2,2020,3,4,1,1,2,58500
12,2014,2,4,2,1,2,58000
2,2021,2,5,1,1,1,57800
2,2021,2,4,2,1,1,57800
2,2021,2,5,1,1,1,57000
12,2021,2,5,1,1,1,56990
12,2020,2,5,1,1,1,56990
2,2021,3,4,1,1,2,56000
2,2021,3,4,2,1,1,56000
16,2016,1,5,1,2,2,55800
16,2013,1,5,1,1,2,55800
16,2013,2,4,1,1,2,55800
16,2013,1,5,2,1,2,55800
2,2009,2,5,2,2,2,55000
2,2011,2,5,1,2,2,54500
2,2014,2,5,1,1,2,54500
2,2011,2,5,1,2,2,54500
14,2012,2,5,1,1,2,51500
13,2013,1,5,2,1,2,50000
13,2013,1,5,2,1,1,50000
2,2015,3,4,2,2,2,50000
12,2019,3,5,2,1,1,49500
10,2016,2,5,1,1,1,49000
28,2017,2,4,1,1,1,48900
9,2016,2,4,1,1,2,48800
1,2010,2,5,1,1,2,45000
2,2021,3,4,1,1,2,45000
14,2017,2,5,1,1,2,45000
2,2021,3,4,1,1,2,45000
2,2015,2,5,2,1,2,45000
12,2021,3,4,2,1,1,44990
12,2021,3,4,1,1,1,44900
14,2006,2,4,1,1,2,44800
14,2006,2,5,1,1,2,44800
2,2014,2,5,1,1,2,44500
2,2016,3,4,1,1,2,44000
2,2013,2,4,1,1,2,43500
2,2018,3,4,1,1,2,43500
2,2017,2,5,2,1,2,43500
2,2018,3,4,1,1,2,43500
2,2020,3,4,2,1,2,43500
2,2018,3,4,1,1,2,43500
2,2015,2,5,2,1,2,43000
2,2014,3,4,2,1,2,43000
2,2017,3,4,1,1,2,43000
4,2020,4,5,2,1,1,42900
19,2022,2,4,1,3,1,42895
2,2014,3,4,2,1,2,42800
1,2014,1,5,1,1,1,42500
13,2008,2,5,2,2,2,42000
2,2016,3,4,2,1,2,42000
2,2016,3,4,2,1,1,42000
8,2008,2,5,2,1,2,41300
2,2021,2,4,1,1,2,41000
2,2019,3,2,2,1,2,41000
2,2021,3,4,2,2,2,41000
17,2021,2,4,2,1,2,40500
12,2016,1,5,1,2,2,40000
12,2016,2,5,1,1,2,40000
2,2019,3,4,2,1,2,39800
8,2014,2,5,2,1,2,39500
5,2014,2,4,1,1,2,38500
26,2017,3,4,1,1,2,38500
1,2011,1,5,1,1,1,38500
1,2011,2,5,1,1,2,38500
12,2014,2,4,1,1,2,38200
13,2012,1,5,2,1,2,38200
10,2012,1,5,2,1,2,38200
12,2014,2,5,2,1,2,38200
2,2016,3,4,1,2,2,38000
10,2015,2,3,2,1,2,37500
12,2021,3,4,1,1,1,37490
2,2017,3,4,1,1,2,37000
2,2017,1,5,1,1,1,37000
2,2017,1,5,1,1,1,37000
2,2017,3,4,1,1,2,37000
2,2017,3,4,1,1,2,37000
2,2017,3,4,1,1,2,37000
13,2010,1,4,1,1,2,36900
